alpha,steering_coeff,perplexity_mean,perplexity_std,sim_scorsese_mean,sim_scorsese_std,sim_spielberg_mean,sim_spielberg_std,valence_moral_valence_mean,valence_moral_valence_std,valence_positive_score_mean,valence_positive_score_std,valence_negative_score_mean,valence_negative_score_std,valence_pos_raw_mean,valence_pos_raw_std,valence_neg_raw_mean,valence_neg_raw_std,style_n_words_mean,style_n_words_std,style_n_sentences_mean,style_n_sentences_std,style_avg_sentence_len_mean,style_avg_sentence_len_std,style_dialogue_density_mean,style_dialogue_density_std,style_lexical_diversity_mean,style_lexical_diversity_std
0.0,0.5,2.1621,0.4801,0.2897,0.0,1.0,0.0,-0.6,0.5477,0.0,0.0,0.6,0.5477,0.0,0.0,0.8,0.8367,362.0,92.5986,9.8,8.167,83.132,84.7371,0.0,0.0,0.16,0.0655
0.0,1.0,5.064,1.4972,0.2897,0.0,1.0,0.0,-0.2,0.4472,0.0,0.0,0.2,0.4472,0.0,0.0,0.2,0.4472,412.0,55.5428,8.4,4.219,69.864,54.3569,0.0,0.0,0.0793,0.0459
0.0,1.5,13.3603,2.1313,0.2897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.6,17.6579,7.0,2.7386,72.628,30.0198,0.0,0.0,0.0831,0.0146
0.0,2.0,20.0123,3.9732,0.2897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,6.7823,1.0,0.0,490.0,6.7823,0.0,0.0,0.0588,0.0079
0.25,0.5,4.646,1.8309,0.6613,0.0,0.8979,0.0,-0.16,0.3419,0.32,0.2434,0.48,0.315,1.2,1.0954,2.0,1.8708,416.2,25.8786,19.0,6.442,24.392,9.5521,0.0,0.0,0.3182,0.0941
0.25,1.0,2.4958,0.5313,0.6613,0.0,0.8979,0.0,-0.4,0.5477,0.0,0.0,0.4,0.5477,0.0,0.0,0.4,0.5477,358.0,43.4626,5.2,3.5637,103.506,65.1071,0.0,0.0,0.1176,0.0489
0.25,1.5,4.2932,0.5333,0.6613,0.0,0.8979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.4,25.4126,1.8,1.3038,280.5,130.5278,0.0,0.0,0.0638,0.0058
0.25,2.0,8.5137,0.604,0.6613,0.0,0.8979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.6,7.8294,1.8,0.8367,242.466,112.8973,0.0,0.0,0.0986,0.0096
0.5,0.5,3.8741,1.5663,0.8868,0.0,0.6814,0.0,-0.6857,0.4562,0.0571,0.1278,0.7429,0.4333,0.4,0.8944,1.6,1.9494,413.2,36.176,20.2,15.2709,30.374,19.3445,0.0,0.0,0.2606,0.0857
0.5,1.0,2.2539,0.6521,0.8868,0.0,0.6814,0.0,-0.2,0.4472,0.0,0.0,0.2,0.4472,0.0,0.0,0.2,0.4472,365.0,46.9201,5.4,3.8471,119.248,108.4126,0.0,0.0,0.1192,0.0519
0.5,1.5,3.2014,0.5401,0.8868,0.0,0.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.2,28.1904,1.2,0.4472,304.8,84.3368,0.0,0.0,0.0886,0.0125
0.5,2.0,8.7423,0.8082,0.8868,0.0,0.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.4,13.2778,1.0,0.0,282.4,13.2778,0.0,0.0,0.1764,0.0077
0.75,0.5,5.7526,0.8912,0.9798,0.0,0.4648,0.0,-0.6667,0.4714,0.0667,0.1491,0.7333,0.4346,0.2,0.4472,2.0,2.3452,394.8,17.6975,15.8,3.7014,26.068,5.88,0.2381,0.3749,0.3785,0.0265
0.75,1.0,1.9648,0.4661,0.9798,0.0,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.6,52.2762,3.2,1.3038,110.87,48.8561,0.0,0.0,0.1244,0.0224
0.75,1.5,6.1504,2.3146,0.9798,0.0,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.4,8.0808,1.0,0.0,284.4,8.0808,0.0,0.0,0.1435,0.0375
0.75,2.0,15.1424,0.8655,0.9798,0.0,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.6,8.5615,1.0,0.0,239.6,8.5615,0.0,0.0,0.2602,0.0216
1.0,0.5,3.0375,1.5557,1.0,0.0,0.2897,0.0,-0.6,0.5477,0.0,0.0,0.6,0.5477,0.0,0.0,3.2,6.0581,375.8,56.5438,19.4,20.2559,66.894,81.2834,0.0,0.0,0.2007,0.1087
1.0,1.0,6.086,2.1381,1.0,0.0,0.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.2,23.3709,1.0,0.0,339.2,23.3709,0.0,0.0,0.103,0.0206
1.0,1.5,24.2202,1.2171,1.0,0.0,0.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,11.2472,1.0,0.0,432.0,11.2472,0.0,0.0,0.0931,0.0038
1.0,2.0,28.0957,2.0131,1.0,0.0,0.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.4,8.9051,1.0,0.0,379.4,8.9051,0.0,0.0,0.1436,0.0161
