alpha,steering_coeff,perplexity,sim_scorsese,sim_spielberg,valence_moral_valence,valence_positive_score,valence_negative_score,valence_pos_raw,valence_neg_raw,style_n_words,style_n_sentences,style_avg_sentence_len,style_dialogue_density,style_lexical_diversity
0.0,0.5,1.6261,0.2897,1.0,-1.0,0.0,1.0,0,2,225,1,225.0,0.0,0.1822
0.0,0.5,2.1483,0.2897,1.0,0.0,0.0,0.0,0,0,392,18,21.78,0.0,0.1301
0.0,0.5,2.396,0.2897,1.0,-1.0,0.0,1.0,0,1,400,19,21.05,0.0,0.15
0.0,0.5,1.8055,0.2897,1.0,0.0,0.0,0.0,0,0,470,5,94.0,0.0,0.0809
0.0,0.5,2.8348,0.2897,1.0,-1.0,0.0,1.0,0,1,323,6,53.83,0.0,0.257
0.0,1.0,4.7866,0.2897,1.0,-1.0,0.0,1.0,0,1,455,5,91.0,0.0,0.0549
0.0,1.0,4.563,0.2897,1.0,0.0,0.0,0.0,0,0,417,11,37.91,0.0,0.0504
0.0,1.0,7.4371,0.2897,1.0,0.0,0.0,0.0,0,0,329,13,25.31,0.0,0.1581
0.0,1.0,5.1981,0.2897,1.0,0.0,0.0,0.0,0,0,391,10,39.1,0.0,0.0818
0.0,1.0,3.3351,0.2897,1.0,0.0,0.0,0.0,0,0,468,3,156.0,0.0,0.0513
0.0,1.5,12.1432,0.2897,1.0,0.0,0.0,0.0,0,0,445,8,55.62,0.0,0.0809
0.0,1.5,10.228,0.2897,1.0,0.0,0.0,0.0,0,0,473,4,118.25,0.0,0.0634
0.0,1.5,14.4783,0.2897,1.0,0.0,0.0,0.0,0,0,426,5,85.2,0.0,0.1009
0.0,1.5,14.5254,0.2897,1.0,0.0,0.0,0.0,0,0,439,7,62.71,0.0,0.0934
0.0,1.5,15.4266,0.2897,1.0,0.0,0.0,0.0,0,0,455,11,41.36,0.0,0.0769
0.0,2.0,26.5824,0.2897,1.0,0.0,0.0,0.0,0,0,485,1,485.0,0.0,0.068
0.0,2.0,19.857,0.2897,1.0,0.0,0.0,0.0,0,0,493,1,493.0,0.0,0.0568
0.0,2.0,18.756,0.2897,1.0,0.0,0.0,0.0,0,0,483,1,483.0,0.0,0.0663
