director,layer_idx,layer_depth_pct,steering_coeff,perplexity,valence_moral_valence,valence_positive_score,valence_negative_score,valence_pos_raw,valence_neg_raw
scorsese,20,0.5,0.5,1.413,0.0,0.0,0.0,0,0
scorsese,20,0.5,0.5,1.8919,0.0,0.5,0.5,3,3
scorsese,20,0.5,0.5,2.3617,0.0,0.0,0.0,0,0
scorsese,20,0.5,0.5,2.129,-1.0,0.0,1.0,0,1
scorsese,20,0.5,0.5,2.2578,-0.4286,0.2857,0.7143,2,5
scorsese,22,0.55,0.5,1.8924,0.0,0.0,0.0,0,0
scorsese,22,0.55,0.5,2.0028,-1.0,0.0,1.0,0,1
scorsese,22,0.55,0.5,2.1538,0.3333,0.6667,0.3333,2,1
scorsese,22,0.55,0.5,2.0715,1.0,1.0,0.0,3,0
scorsese,22,0.55,0.5,1.9343,-0.6667,0.1667,0.8333,1,5
scorsese,24,0.6,0.5,2.0379,-1.0,0.0,1.0,0,1
scorsese,24,0.6,0.5,2.6346,0.6,0.8,0.2,4,1
scorsese,24,0.6,0.5,2.1525,1.0,1.0,0.0,1,0
scorsese,24,0.6,0.5,1.8861,0.6,0.8,0.2,20,5
scorsese,24,0.6,0.5,2.4766,0.3333,0.6667,0.3333,4,2
scorsese,26,0.65,0.5,1.7634,-0.2,0.4,0.6,2,3
scorsese,26,0.65,0.5,1.9437,1.0,1.0,0.0,2,0
scorsese,26,0.65,0.5,1.9447,1.0,1.0,0.0,1,0
scorsese,26,0.65,0.5,2.1694,0.0,0.0,0.0,0,0
scorsese,26,0.65,0.5,2.2029,0.2,0.6,0.4,6,4
scorsese,28,0.7,0.5,1.8318,-1.0,0.0,1.0,0,10
scorsese,28,0.7,0.5,1.978,-1.0,0.0,1.0,0,4
scorsese,28,0.7,0.5,2.4598,-1.0,0.0,1.0,0,4
scorsese,28,0.7,0.5,2.6638,-0.6,0.2,0.8,1,4
scorsese,28,0.7,0.5,1.5031,1.0,1.0,0.0,2,0
scorsese,30,0.75,0.5,1.5167,0.0,0.0,0.0,0,0
scorsese,30,0.75,0.5,2.2077,-1.0,0.0,1.0,0,3
scorsese,30,0.75,0.5,1.9972,-1.0,0.0,1.0,0,11
scorsese,30,0.75,0.5,2.3593,-0.6667,0.1667,0.8333,1,5
scorsese,30,0.75,0.5,1.9623,0.4286,0.7143,0.2857,5,2
scorsese,32,0.8,0.5,1.7413,0.0,0.0,0.0,0,0
scorsese,32,0.8,0.5,1.9206,1.0,1.0,0.0,1,0
scorsese,32,0.8,0.5,2.16,0.0,0.5,0.5,2,2
scorsese,32,0.8,0.5,2.5675,0.0,0.5,0.5,1,1
scorsese,32,0.8,0.5,1.6172,0.3333,0.6667,0.3333,2,1
scorsese,34,0.85,0.5,1.8869,-1.0,0.0,1.0,0,3
scorsese,34,0.85,0.5,2.1993,0.0,0.5,0.5,1,1
scorsese,34,0.85,0.5,1.5825,-0.5,0.25,0.75,1,3
scorsese,34,0.85,0.5,2.3406,0.3333,0.6667,0.3333,2,1
scorsese,34,0.85,0.5,2.0495,0.2308,0.6154,0.3846,8,5
scorsese,36,0.9,0.5,1.7813,-1.0,0.0,1.0,0,2
scorsese,36,0.9,0.5,2.3122,-0.6,0.2,0.8,1,4
scorsese,36,0.9,0.5,1.802,-0.6667,0.1667,0.8333,1,5
scorsese,36,0.9,0.5,1.6293,1.0,1.0,0.0,1,0
scorsese,36,0.9,0.5,1.3665,0.0,0.0,0.0,0,0
scorsese,38,0.95,0.5,1.4896,-1.0,0.0,1.0,0,2
scorsese,38,0.95,0.5,1.7336,0.0,0.5,0.5,2,2
scorsese,38,0.95,0.5,2.005,-1.0,0.0,1.0,0,2
scorsese,38,0.95,0.5,1.7015,0.3333,0.6667,0.3333,2,1
scorsese,38,0.95,0.5,2.0128,-0.3333,0.3333,0.6667,2,4
spielberg,20,0.5,0.5,1.5818,-1.0,0.0,1.0,0,1
spielberg,20,0.5,0.5,1.9943,-0.5,0.25,0.75,1,3
spielberg,20,0.5,0.5,1.948,-0.3333,0.3333,0.6667,1,2
spielberg,20,0.5,0.5,2.3989,1.0,1.0,0.0,2,0
spielberg,20,0.5,0.5,2.0219,0.5,0.75,0.25,3,1
spielberg,22,0.55,0.5,1.7473,-1.0,0.0,1.0,0,2
spielberg,22,0.55,0.5,1.9031,-0.2,0.4,0.6,2,3
spielberg,22,0.55,0.5,2.1551,0.0,0.5,0.5,2,2
spielberg,22,0.55,0.5,3.065,-0.1429,0.4286,0.5714,3,4
spielberg,22,0.55,0.5,1.407,1.0,1.0,0.0,1,0
spielberg,24,0.6,0.5,1.6939,-1.0,0.0,1.0,0,1
spielberg,24,0.6,0.5,2.118,-0.2,0.4,0.6,2,3
spielberg,24,0.6,0.5,1.9316,0.3333,0.6667,0.3333,2,1
spielberg,24,0.6,0.5,2.1089,0.0,0.5,0.5,2,2
spielberg,24,0.6,0.5,1.755,0.6364,0.8182,0.1818,9,2
spielberg,26,0.65,0.5,1.8165,-1.0,0.0,1.0,0,1
spielberg,26,0.65,0.5,2.8319,0.0,0.5,0.5,2,2
spielberg,26,0.65,0.5,1.9285,0.6,0.8,0.2,4,1
spielberg,26,0.65,0.5,1.6467,-1.0,0.0,1.0,0,9
